method,k,seed,groups,silhouette,davies_bouldin,calinski_harabasz,smallest_cluster,largest_cluster,smallest_pct,sizes,inertia,iterations,aic,bic,converged,mean_confidence,low_confidence_count,low_confidence_pct,min_covariance_eigenvalue,ari_mean,ari_min,ari_max,ari_std,pairs,configuration,stability_note,interpretability,strengths,limitations,role
RFM_Baseline,4,,4,0.221961766682,1.41743627115,2097.51802976,719,935,21.3860797145,"{""0"": 935, ""1"": 905, ""2"": 803, ""3"": 719}",,,,,,,,,,,,,,,Fixed midrank score bands,Deterministic; seed ARI N/A,Transparent scores,Simple operational reference,Compensates across R/F/M; ties unbalance bins,Rule-based reference
KMeans,2,42,2,0.411375877464,0.904482354192,3136.78774585,1395,1967,41.493158834,"{""0"": 1967, ""1"": 1395}",5216.28129132,14,,,,,,,,1,1,1,0,10,k-means++; n_init=20; Lloyd,Five-seed ARI below,Centroids and raw profiles,Compact groups; straightforward assignment,Spherical bias; residual extremes,Leading technical
KMeans,3,42,3,0.372795446438,0.915767614044,3135.74818241,866,1520,25.758477097,"{""0"": 866, ""1"": 976, ""2"": 1520}",3517.88544553,10,,,,,,,,0.998894247896,0.998157079827,1,0.000951679884938,10,k-means++; n_init=20; Lloyd,Five-seed ARI below,Centroids and raw profiles,Compact groups; straightforward assignment,Spherical bias; residual extremes,Finer secondary
Hierarchical,2,,2,0.392839061734,0.946754111406,2896.42569277,1645,1717,48.9292088043,"{""0"": 1717, ""1"": 1645}",,,,,,,,,,,,,,,Ward; Euclidean,Deterministic; seed ARI N/A,Merge tree and raw profiles,Nested partition; no random starts,Greedy merges; quadratic scaling,Cross-method comparator
GMM,2,42,2,0.380230540352,0.972372767287,2723.70786413,1650,1712,49.0779298037,"{""0"": 1650, ""1"": 1712}",,6,21957.1242698,22073.4098048,True,0.887988757858,637,18.9470553242,0.10423430776,1,1,1,0,10,Full covariance; n_init=10,Five-seed ARI below,Posterior probabilities and profiles,Allows elliptical overlap,Density fit can follow discrete Frequency; local optima,Cross-method comparator
GMM,8,42,8,0.159702255279,1.95490894966,1265.38586637,95,772,2.8256989887,"{""0"": 772, ""1"": 95, ""2"": 213, ""3"": 594, ""4"": 408, ""5"": 366, ""6"": 668, ""7"": 246}",,21,-7830.19656452,-7346.69355072,True,0.919211394758,406,12.0761451517,9.99999999973e-07,0.786380592289,0.651678558614,0.997813200572,0.124954303259,10,Full covariance; n_init=10,Five-seed ARI below,Posterior probabilities and profiles,Allows elliptical overlap,Density fit can follow discrete Frequency; local optima,Density diagnostic only
