method,k,seed,groups,silhouette,davies_bouldin,calinski_harabasz,smallest_cluster,largest_cluster,smallest_pct,sizes,inertia,iterations,aic,bic,converged,mean_confidence,low_confidence_count,low_confidence_pct,min_covariance_eigenvalue
KMeans,8,7,8,0.280576015832,1.05089745098,2409.73161219,137,605,4.0749553837,"{""0"": 416, ""1"": 513, ""2"": 354, ""3"": 369, ""4"": 597, ""5"": 137, ""6"": 371, ""7"": 605}",1672.92629683,21,,,,,,,
KMeans,8,21,8,0.281231779692,1.04815623477,2409.77824496,135,613,4.01546698394,"{""0"": 354, ""1"": 356, ""2"": 135, ""3"": 613, ""4"": 370, ""5"": 418, ""6"": 597, ""7"": 519}",1672.85050523,18,,,,,,,
KMeans,8,99,8,0.278863614012,1.05574519418,2409.05570991,134,601,3.98572278406,"{""0"": 594, ""1"": 495, ""2"": 601, ""3"": 405, ""4"": 366, ""5"": 134, ""6"": 367, ""7"": 400}",1673.23960817,26,,,,,,,
KMeans,8,123,8,0.286343401895,1.00151076071,2408.61910274,138,630,4.10469958358,"{""0"": 609, ""1"": 506, ""2"": 425, ""3"": 376, ""4"": 630, ""5"": 380, ""6"": 138, ""7"": 298}",1673.49120771,22,,,,,,,
GMM,2,42,2,0.380230540352,0.972372767287,2723.70786413,1650,1712,49.0779298037,"{""0"": 1650, ""1"": 1712}",,6,21957.1242698,22073.4098048,True,0.887988757858,637,18.9470553242,0.10423430776
GMM,2,7,2,0.380230540352,0.972372767287,2723.70786413,1650,1712,49.0779298037,"{""0"": 1650, ""1"": 1712}",,6,21957.1242698,22073.4098048,True,0.887988757858,637,18.9470553242,0.10423430776
GMM,2,21,2,0.380230540352,0.972372767287,2723.70786413,1650,1712,49.0779298037,"{""0"": 1650, ""1"": 1712}",,6,21957.1242698,22073.4098048,True,0.887988757858,637,18.9470553242,0.10423430776
GMM,2,99,2,0.380230540352,0.972372767287,2723.70786413,1650,1712,49.0779298037,"{""0"": 1712, ""1"": 1650}",,6,21957.1242698,22073.4098048,True,0.887988757858,637,18.9470553242,0.10423430776
GMM,2,123,2,0.380230540352,0.972372767287,2723.70786413,1650,1712,49.0779298037,"{""0"": 1712, ""1"": 1650}",,6,21957.1242698,22073.4098048,True,0.887988757858,637,18.9470553242,0.10423430776
GMM,3,42,3,0.21048515895,1.39610487192,1758.07191058,992,1366,29.506246282,"{""0"": 992, ""1"": 1366, ""2"": 1004}",,9,6139.12526579,6316.61371389,True,0.92154086736,486,14.4556811422,9.99999999973e-07
