solution,cluster,customers,percentage,median_recency,median_frequency,median_monetary,mean_recency,mean_frequency,mean_monetary
GMM_k7,3,260,7.73349196907,6,11,3861.735,6.84230769231,15.4269230769,9056.17130769
GMM_k7,4,668,19.8691255205,79,2,539.47,89.6751497006,2,693.438669162
GMM_k7,5,200,5.9488399762,91,4,1362.29,98.83,5.11,2006.96535
GMM_k7,6,408,12.1356335515,53,3,866.135,65.4656862745,3,1267.54331127
GMM_k8_Diagnostic,0,772,22.9625223081,84,1,262.36,81.9922279793,1,488.665
GMM_k8_Diagnostic,1,95,2.8256989887,92,6,1495.79,103.178947368,6.29473684211,1734.95873684
GMM_k8_Diagnostic,2,213,6.33551457466,6,13,4685.17,7.16431924883,17.5492957746,10658.9728169
GMM_k8_Diagnostic,3,594,17.6680547293,218,1,224.43,220.942760943,1,288.661919192
GMM_k8_Diagnostic,4,408,12.1356335515,53,3,866.135,65.4656862745,3,1267.54331127
GMM_k8_Diagnostic,5,366,10.8863771565,24,6,2144.545,26.0054644809,7.01912568306,2879.16483607
GMM_k8_Diagnostic,6,668,19.8691255205,79,2,539.47,89.6751497006,2,693.438669162
GMM_k8_Diagnostic,7,246,7.31707317073,45,4,1204.19,55.2235772358,4,1395.86284553
